Maintainer,MaintainerURL,Name,PrimaryRepoType,PrimaryRepoURL,SecondaryRepoType,SecondaryRepoURL,TertiaryRepoType,TertiaryRepoURL,Description,Tag1,Tag2,Tag3,Tag4,Tag5
## Tools for General Use,,,,,,,,,,,,,,
### Compiled Software,,,,,,,,,,,,,,
cornelmpop,https://github.com/cornelmpop/,Lithics3D,GitHub,https://github.com/cornelmpop/Lithics3D,,,,,An R package for processing and analyzing 3D scans of archaeological lithics,3D Modelling,Finds Analysis,,,
ArchaeoStat,https://github.com/ArchaeoStat/,ArchaeoChron,GitHub,https://github.com/ArchaeoStat/ArchaeoChron,,,,,Bayesian Modeling of Archaeological Chronologies,Chronological / Stratigraphic Sequencing,,,,
ArchaeoStat,https://github.com/ArchaeoStat/,ArchaeoPhases,GitHub,https://github.com/ArchaeoStat/ArchaeoPhases,,,,,Tools for the post-processing of the Markov Chain simulated by any software used for the construction of archeological chronologies,Chronological / Stratigraphic Sequencing,,,,
,,,,,,,,,,,,,,
### Luminescence stuff,,,,,,,,,,,,,,
senaite,https://github.com/senaite/,senaite.lims,GitHub,https://github.com/senaite/senaite.lims,,,,,"Modern, mobile first LIMS UI",Luminescence,,,,
stas-g,https://github.com/stas-g/,findPeaks,GitHub,https://github.com/stas-g/findPeaks,,,,,A simple algorithm to find local maxima/minima in sequential data,Luminescence,,,,
RLumSK,https://github.com/RLumSK/,Al2O3_AnalysisApp,GitHub,https://github.com/RLumSK/Al2O3_AnalysisApp,,,,,Shiny app to analyse Al2O3:C measurements ,Luminescence,,,,
wojdyr,https://github.com/wojdyr/,xylib,GitHub,https://github.com/wojdyr/xylib,,,,,"library for reading files with x-y data from powder diffraction, spectroscopy, or other experimental methods. xylib is a portable library for reading files that contain x-y data from powder diffraction, spectroscopy and other experimental methods.",Luminescence,,,,
R-Lum,https://github.com/R-Lum/,rxylib,GitHub,https://github.com/R-Lum/rxylib,,,,,R package: wrapper for the C+library `xylib`,Luminescence,,,,
R-Lum,https://github.com/R-Lum/,Luminescence,GitHub,https://github.com/R-Lum/Luminescence,,,,,Development version of the R package 'Luminescence'. The R package 'Luminescence' by the R-Luminescence Group provides a collection of various R functions for luminescence dating data analysis. http://www.r-luminescence.org/,Luminescence,,,,
dstreble,https://github.com/dstreble/,LumReader,GitHub,https://github.com/dstreble/LumReader,,,,,R package to simulate a Luminescence Reader,Luminescence,,,,
dstreble,https://github.com/dstreble/,Tldating,GitHub,https://github.com/dstreble/Tldating,,,,,R package for TL dating,Luminescence,,,,
dstreble,https://github.com/dstreble/,shiny_Tldating,GitHub,https://github.com/dstreble/shiny_Tldating,,,,,Shiny app for TL dating,Luminescence,,,,
dstreble,https://github.com/dstreble/,shiny_DRAC,GitHub,https://github.com/dstreble/shiny_DRAC,,,,,graphical interface for DRAC,Luminescence,,,,
R-Lum,https://github.com/R-Lum/,BayLum,GitHub,https://github.com/R-Lum/BayLum,,,,,"An R package for chronological Bayesian models integrated for Optically Stimulated OSL, Luminescence Dating",Luminescence,,,,
R-Lum,https://github.com/R-Lum/,Rcarb,GitHub,https://github.com/R-Lum/Rcarb,,,,,The R package ‘RCarb’ provides a collection of various R functions to model dose rates in carbonate-rich samples. The package is a translation of the ‘MATLAB’ program Carb by Roger P. Nathan,Luminescence,,,,
,,,,,,,,,,,,,,
### Radiocarbon stuff,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
### Palaeoclimatearchaeobotany stuff,,,,,,,,,,,,,,
gavinsimpson,https://github.com/gavinsimpson/,analogue,GitHub,https://github.com/gavinsimpson/analogue,,,,,Analogue and weighted averaging methods for palaeoecology,Palaeoenvironment,Palaeobotany,Palaeoecology,,
gavinsimpson,https://github.com/gavinsimpson/,coenocliner,GitHub,https://github.com/gavinsimpson/coenocliner,,,,,"An R package to simulate species occurences and abundances counts, along gradients",Palaeoenvironment,Palaeobotany,Palaeoecology,,
vegandevs,https://github.com/vegandevs/,vegan,GitHub,https://github.com/vegandevs/vegan,,,,,"R package for community ecologists: popular ordination methods, ecological null models & diversity analysis",Palaeoenvironment,Palaeobotany,Palaeoecology,,
vegandevs,https://github.com/vegandevs/,vegan3d,GitHub,https://github.com/vegandevs/vegan3d,,,,,Dynamic and static 3D plotting for vegan,Palaeoenvironment,Palaeobotany,Palaeoecology,,
gavinsimpson,https://github.com/gavinsimpson/,ggvegan,GitHub,https://github.com/gavinsimpson/ggvegan,,,,,ggplot-based plots for vegan,Palaeoenvironment,Palaeobotany,Palaeoecology,,
ropensci,https://github.com/ropensci/,neotoma,GitHub,https://github.com/ropensci/neotoma,,,,,Programmatic R interface to the Neotoma Paleoecological Database,Palaeoenvironment,Palaeobotany,Palaeoecology,,
