item_name,description,github,gist,gitlab,bitbucket,launchpad,twitter,youtube,blogpost,cran,pypi,codeberg,website,publication,DOI,author1_name,author2_name,author3_name,author4_name,author5_name,author6_name,category,platform,tag1,tag2,tag3,tag4,tag5,notes,internetarchive
mortAAR,Analysis of archaeological mortality data.,https://github.com/ISAAKiel/mortAAR,,,,,,,,,,,,,,ISAAKiel,,,,,,Packages and libraries,R,Zooarchaeology,,,,,,https://archive.org/details/github.com-ISAAKiel-mortAAR_-_2021-01-06_22-00-39
Crossbones,"Crossbones autogenerates 3d schematic skeletons, making rapid surveying and visualisation of dense skeletal assemblages a snap.",,,,,,,,,,,,http://oadigital.net/software/xbones.html,,,Leif Isaksen,,,,,,Standalone software,,Zooarchaeology,,,,,,
pollen_data_processing,Some tools in respect to pollen data processing.,https://github.com/MartinHinz/pollen_data_processing,,,,,,,,,,,,,,MartinHinz,,,,,,Scripts,R,Palaeobotany,,,,,,https://archive.org/details/github.com-MartinHinz-pollen_data_processing_-_2018-05-23_12-54-10
ethnobotanyR,R package for calculating quantitative ethnobotany indices.,https://github.com/CWWhitney/ethnobotanyR,,,,,,,,,,,http://htmlpreview.github.io/?https://github.com/CWWhitney/ethnobotanyR/blob/master/vignettes/ethnobotanyr_vignette.html,,,CWWhitney,,,,,,Packages and libraries,R,Palaeobotany,,,,,,https://archive.org/details/github.com-CWWhitney-ethnobotanyR_-_2021-01-08_12-45-25
CharTool,Chartool is a macro tool for quantifying charcoal particles for paleoecological research applications.,https://github.com/gsnitker/CharTool,,,,,,,,,,,,,,gsnitker,,,,,,Standalone software,,Palaeobotany,,,,,,https://archive.org/details/github.com-gsnitker-CharTool_-_2020-04-06_21-46-45
tipom,"Tipom is based on a methodology that was developed in the 1960s by bernardino bagolini. The basic idea is to use the three simple dimensions of length, width and thickness of each lithic artefact to classify them in discrete groups and infer their function.",,,,,,,,,https://CRAN.R-project.org/package=tipom,,https://codeberg.org/steko/tipom,,,,iosa,,,,,,Packages and libraries,R,Artefact morphology,,,,,,
kotyle,"Calculate the capacity of a ceramic vessel, like an amphora.",,,,,,,,,,,https://codeberg.org/steko/kotyle,https://kotyle.readthedocs.io/en/latest/,,,iosa,,,,,,Packages and libraries,Python,Artefact morphology,Ceramic analysis,,,,,https://archive.org/details/codeberg.org-steko-kotyle_-_2020-06-23_23-00-02
sdsbrowser,Sdsbrowser is an r shiny webapp developed to make the available sds datasets (following the systematic and digital documentation of stone artefacts recording system) more accessible. It is designed to give you a quick overview on the spatial and temporal scope of sites previously analysed with sds and the distribution of artefacts within these sites.,https://github.com/Johanna-Mestorf-Academy/sdsbrowser,,,,,,,,,,,http://sds.ufg.uni-kiel.de/,,,Johanna-Mestorf-Academy,,,,,,Scripts,R,Artefact morphology,,,,,,https://archive.org/details/github.com-Johanna-Mestorf-Academy-sdsbrowser_-_2018-12-12_12-44-35
sdsanalysis,"Dsanalysis is the backbone of the sdsbrowser webapp, and can be employed to analyse sds stone artefact data in r.",https://github.com/Johanna-Mestorf-Academy/sdsanalysis,,,,,,,,,,,,,,Johanna-Mestorf-Academy,,,,,,Packages and libraries,R,Artefact morphology,,,,,,https://archive.org/details/github.com-Johanna-Mestorf-Academy-sdsanalysis_-_2018-12-13_13-20-29
rtefact,"Brings together a range of methods for analysing the time series, shapes and other properties of archaeological artefacts.",https://github.com/ahb108/rtfact,,,,,,,,,,,,,,ahb108,,,,,,Packages and libraries,R,Artefact morphology,,,,,,https://archive.org/details/github.com-ahb108-rtfact_-_2021-01-25_09-24-54
